Transaction ID,Transaction Date,Account Name,Transaction Description,Transaction Line Description,Amount (One column), ,Debit Amount (Two Column Approach),Credit Amount (Two Column Approach),Other Accounts for this Transaction,Customer,Vendor,Invoice Number,Bill Number,Notes / Memo,Amount Before Sales Tax,Sales Tax Amount,Sales Tax Name,Transaction Date Added,Transaction Date Last Modified,Account Group,Account Type,Account ID
320387870357478840,2018-01-03,Cigs,#xxxxxxxx4092 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx4092 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,9.26,,9.26,,S09 - Free Business Checking,,,,,,9.26,,,2018-01-04,2018-01-29,Expense,Operating Expense,
320387873821973954,2018-01-03,S09 - Free Business Checking,Visa Check PHILLIPS 66 - UNITED PACI MONUMENT CO 01/03/18 Card 6271,Visa Check PHILLIPS 66 - UNITED PACI MONUMENT CO 01/03/18 Card 6271,-24.64,,,24.64,Vehicle – Fuel,,,,,,-24.64,,,2018-01-04,2018-01-07,Asset,Cash and Bank,Checking
320387873821973954,2018-01-03,Vehicle – Fuel,Visa Check PHILLIPS 66 - UNITED PACI MONUMENT CO 01/03/18 Card 6271,Visa Check PHILLIPS 66 - UNITED PACI MONUMENT CO 01/03/18 Card 6271,24.64,,24.64,,S09 - Free Business Checking,,,,,,24.64,,,2018-01-04,2018-01-07,Expense,Operating Expense,
320387877076753867,2018-01-03,S09 - Free Business Checking,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,-5.00,,,5.00,InterNACHI,,,,,,-5.00,,,2018-01-04,2018-01-15,Asset,Cash and Bank,Checking
320387877076753867,2018-01-03,InterNACHI,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,5.00,,5.00,,S09 - Free Business Checking,,,,,,5.00,,,2018-01-04,2018-01-15,Expense,Operating Expense,
320387880130207187,2018-01-03,S09 - Free Business Checking,GLOBAL PAYMENTS : GLOBAL STL : xxxxxx1406,GLOBAL PAYMENTS : GLOBAL STL : xxxxxx1406,-86.97,,,86.97,Global Payments,,,,,,-86.97,,,2018-01-04,2018-01-15,Asset,Cash and Bank,Checking
320387880130207187,2018-01-03,Global Payments,GLOBAL PAYMENTS : GLOBAL STL : xxxxxx1406,GLOBAL PAYMENTS : GLOBAL STL : xxxxxx1406,86.97,,86.97,,S09 - Free Business Checking,,,,,,86.97,,,2018-01-04,2018-01-15,Expense,Payment Processing Fee,
322974748747259638,2018-01-07,S09 - Free Business Checking,Visa Check RADALINK INC xxx-xxx5555 GA 01/05/18 Card 6271,Visa Check RADALINK INC xxx-xxx5555 GA 01/05/18 Card 6271,-165.00,,,165.00,Radalink,,,,,,-165.00,,,2018-01-08,2018-01-15,Asset,Cash and Bank,Checking
322974748747259638,2018-01-07,Radalink,Visa Check RADALINK INC xxx-xxx5555 GA 01/05/18 Card 6271,Visa Check RADALINK INC xxx-xxx5555 GA 01/05/18 Card 6271,165.00,,165.00,,S09 - Free Business Checking,,,,,,165.00,,,2018-01-08,2018-01-15,Expense,Operating Expense,
322974753201610497,2018-01-07,S09 - Free Business Checking,#xxxxxxxx6448 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx6448 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-8.23,,,8.23,Mt Dew,,,,,,-8.23,,,2018-01-08,2018-01-29,Asset,Cash and Bank,Checking
322974753201610497,2018-01-07,Mt Dew,#xxxxxxxx6448 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx6448 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,8.23,,8.23,,S09 - Free Business Checking,,,,,,8.23,,,2018-01-08,2018-01-29,Expense,Operating Expense,
323228147606641690,2018-01-08,S09 - Free Business Checking,Deposit Bulk Checks 300.00 Bulk Check Count 1 Bulk Deposit Number xxx0467,Deposit Bulk Checks 300.00 Bulk Check Count 1 Bulk Deposit Number xxx0467,300.00,,300.00,,Home Inspection,,,,,,300.00,,,2018-01-08,2018-01-15,Asset,Cash and Bank,Checking
323228147606641690,2018-01-08,Home Inspection,Deposit Bulk Checks 300.00 Bulk Check Count 1 Bulk Deposit Number xxx0467,Deposit Bulk Checks 300.00 Bulk Check Count 1 Bulk Deposit Number xxx0467,300.00,,,300.00,S09 - Free Business Checking,,,,,,300.00,,,2018-01-08,2018-01-15,Income,Income,
323699775499164969,2018-01-09,S09 - Free Business Checking,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/08/18 Card 6271,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/08/18 Card 6271,-46.75,,,46.75,Vehicle – Fuel,,,,,,-46.75,,,2018-01-09,2018-01-09,Asset,Cash and Bank,Checking
323699775499164969,2018-01-09,Vehicle – Fuel,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/08/18 Card 6271,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/08/18 Card 6271,46.75,,46.75,,S09 - Free Business Checking,,,,,,46.75,,,2018-01-09,2018-01-09,Expense,Operating Expense,
324153568690986525,2018-01-09,S09 - Free Business Checking,#xxxxxxxx6035 NNT BIG 5 SPORTING xxxxxx 4330 N FREEWAY RD PUEBLO CO Card 6271,#xxxxxxxx6035 NNT BIG 5 SPORTING xxxxxx 4330 N FREEWAY RD PUEBLO CO Card 6271,-58.06,,,58.06,Other Job Related Costs,,,,,,-58.06,,,2018-01-10,2018-01-15,Asset,Cash and Bank,Checking
324153568690986525,2018-01-09,Other Job Related Costs,#xxxxxxxx6035 NNT BIG 5 SPORTING xxxxxx 4330 N FREEWAY RD PUEBLO CO Card 6271,#xxxxxxxx6035 NNT BIG 5 SPORTING xxxxxx 4330 N FREEWAY RD PUEBLO CO Card 6271,58.06,,58.06,,S09 - Free Business Checking,,,,,,58.06,,,2018-01-10,2018-01-15,Expense,Cost of Goods Sold,
324153569001365024,2018-01-09,S09 - Free Business Checking,Visa Check FAMILY DOLLAR #8338 COLORADO CITY CO 01/08/18 Card 6271,Visa Check FAMILY DOLLAR #8338 COLORADO CITY CO 01/08/18 Card 6271,-2.34,,,2.34,Office Supplies,,,,,,-2.34,,,2018-01-10,2018-01-10,Asset,Cash and Bank,Checking
324153569001365024,2018-01-09,Office Supplies,Visa Check FAMILY DOLLAR #8338 COLORADO CITY CO 01/08/18 Card 6271,Visa Check FAMILY DOLLAR #8338 COLORADO CITY CO 01/08/18 Card 6271,2.34,,2.34,,S09 - Free Business Checking,,,,,,2.34,,,2018-01-10,2018-01-10,Expense,Operating Expense,
324153571794771504,2018-01-09,S09 - Free Business Checking,#xxxxxxxx4594 CORNER STORE 4062 COLORADO CITY CO Card 6271,#xxxxxxxx4594 CORNER STORE 4062 COLORADO CITY CO Card 6271,-33.01,,,33.01,Vehicle – Fuel,,,,,,-33.01,,,2018-01-10,2018-01-10,Asset,Cash and Bank,Checking
324153571794771504,2018-01-09,Vehicle – Fuel,#xxxxxxxx4594 CORNER STORE 4062 COLORADO CITY CO Card 6271,#xxxxxxxx4594 CORNER STORE 4062 COLORADO CITY CO Card 6271,33.01,,33.01,,S09 - Free Business Checking,,,,,,33.01,,,2018-01-10,2018-01-10,Expense,Operating Expense,
324153572289699379,2018-01-09,S09 - Free Business Checking,GLOBAL PAYMENTS : GLOBAL DEP : xxxxxx1406,GLOBAL PAYMENTS : GLOBAL DEP : xxxxxx1406,100.00,,100.00,,Septic Inspection,,,,,,100.00,,,2018-01-10,2018-01-15,Asset,Cash and Bank,Checking
324153572289699379,2018-01-09,Septic Inspection,GLOBAL PAYMENTS : GLOBAL DEP : xxxxxx1406,GLOBAL PAYMENTS : GLOBAL DEP : xxxxxx1406,100.00,,,100.00,S09 - Free Business Checking,,,,,,100.00,,,2018-01-10,2018-01-15,Income,Income,
324418638570347549,2018-01-10,S09 - Free Business Checking,Visa Check PHILLIPS 66 - MINIT MART WALSENBURG CO 01/09/18 Card 6271,Visa Check PHILLIPS 66 - MINIT MART WALSENBURG CO 01/09/18 Card 6271,-5.65,,,5.65,Meals and Entertainment,,,,,,-5.65,,,2018-01-10,2018-01-11,Asset,Cash and Bank,Checking
324418638570347549,2018-01-10,Meals and Entertainment,Visa Check PHILLIPS 66 - MINIT MART WALSENBURG CO 01/09/18 Card 6271,Visa Check PHILLIPS 66 - MINIT MART WALSENBURG CO 01/09/18 Card 6271,5.65,,5.65,,S09 - Free Business Checking,,,,,,5.65,,,2018-01-10,2018-01-11,Expense,Operating Expense,
325142885777300483,2018-01-10,S09 - Free Business Checking,Visa Check ALTER IMAGE PUEBLO CO 01/09/18 Card 6271,Visa Check ALTER IMAGE PUEBLO CO 01/09/18 Card 6271,-50.00,,,50.00,Other Job Related Costs,,,,,,-50.00,,,2018-01-11,2018-01-11,Asset,Cash and Bank,Checking
325142885777300483,2018-01-10,Other Job Related Costs,Visa Check ALTER IMAGE PUEBLO CO 01/09/18 Card 6271,Visa Check ALTER IMAGE PUEBLO CO 01/09/18 Card 6271,50.00,,50.00,,S09 - Free Business Checking,,,,,,50.00,,,2018-01-11,2018-01-11,Expense,Cost of Goods Sold,
326643855875137451,2018-01-11,S09 - Free Business Checking,#xxxxxxxx8871 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx8871 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-9.18,,,9.18,Mt Dew,,,,,,-9.18,,,2018-01-13,2018-01-29,Asset,Cash and Bank,Checking
326643855875137451,2018-01-11,Mt Dew,#xxxxxxxx8871 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx8871 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,9.18,,9.18,,S09 - Free Business Checking,,,,,,9.18,,,2018-01-13,2018-01-29,Expense,Operating Expense,
326643851395620768,2018-01-12,S09 - Free Business Checking,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,605.00,,605.00,,"Computer Income, Home Inspection, RADON Testing",,,,,,605.00,,,2018-01-13,2018-01-15,Asset,Cash and Bank,Checking
326643851395620768,2018-01-12,Computer Income,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,205.00,,,205.00,"Home Inspection, RADON Testing, S09 - Free Business Checking",,,,,,205.00,,,2018-01-13,2018-01-15,Income,Income,
326643851395620768,2018-01-12,RADON Testing,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,100.00,,,100.00,"Computer Income, Home Inspection, S09 - Free Business Checking",,,,,,100.00,,,2018-01-13,2018-01-15,Income,Income,
326643851395620768,2018-01-12,Home Inspection,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,Deposit Bulk Checks 605.00 Bulk Check Count 2 Bulk Deposit Number xxx0849,300.00,,,300.00,"Computer Income, RADON Testing, S09 - Free Business Checking",,,,,,300.00,,,2018-01-13,2018-01-15,Income,Income,
326643847050321813,2018-01-13,S09 - Free Business Checking,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/12/18 Card 6271,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/12/18 Card 6271,-30.10,,,30.10,Vehicle – Fuel,,,,,,-30.10,,,2018-01-13,2018-01-13,Asset,Cash and Bank,Checking
326643847050321813,2018-01-13,Vehicle – Fuel,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/12/18 Card 6271,Visa Check LOAF N JUG #0014 Q81 PUEBLO CO 01/12/18 Card 6271,30.10,,30.10,,S09 - Free Business Checking,,,,,,30.10,,,2018-01-13,2018-01-13,Expense,Operating Expense,
327377630175190958,2018-01-13,S09 - Free Business Checking,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/13/18 Card 6271,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/13/18 Card 6271,-26.50,,,26.50,Vehicle – Fuel,,,,,,-26.50,,,2018-01-14,2018-01-14,Asset,Cash and Bank,Checking
327377630175190958,2018-01-13,Vehicle – Fuel,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/13/18 Card 6271,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/13/18 Card 6271,26.50,,26.50,,S09 - Free Business Checking,,,,,,26.50,,,2018-01-14,2018-01-14,Expense,Operating Expense,
327377634419826615,2018-01-13,S09 - Free Business Checking,#xxxxxxxx9883 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx9883 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-13.77,,,13.77,Mt Dew and Cigs,,,,,,-13.77,,,2018-01-14,2018-01-29,Asset,Cash and Bank,Checking
327377634419826615,2018-01-13,Mt Dew and Cigs,#xxxxxxxx9883 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx9883 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,13.77,,13.77,,S09 - Free Business Checking,,,,,,13.77,,,2018-01-14,2018-01-29,Expense,Operating Expense,
328770947739836045,2018-01-15,S09 - Free Business Checking,Visa Check ISN/CLOUD INSPEECT xxx-xxx2449 NV 01/14/18 Card 6271,Visa Check ISN/CLOUD INSPEECT xxx-xxx2449 NV 01/14/18 Card 6271,-24.00,,,24.00,ISN/Cloud Inspect,,,,,,-24.00,,,2018-01-16,2018-01-16,Asset,Cash and Bank,Checking
328770947739836045,2018-01-15,ISN/Cloud Inspect,Visa Check ISN/CLOUD INSPEECT xxx-xxx2449 NV 01/14/18 Card 6271,Visa Check ISN/CLOUD INSPEECT xxx-xxx2449 NV 01/14/18 Card 6271,24.00,,24.00,,S09 - Free Business Checking,,,,,,24.00,,,2018-01-16,2018-01-16,Expense,Operating Expense,
329035635232890559,2018-01-16,S09 - Free Business Checking,#xxxxxxxx1447 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx1447 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-18.38,,,18.38,Mt Dew and Cigs,,,,,,-18.38,,,2018-01-16,2018-01-29,Asset,Cash and Bank,Checking
329035635232890559,2018-01-16,Mt Dew and Cigs,#xxxxxxxx1447 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx1447 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,18.38,,18.38,,S09 - Free Business Checking,,,,,,18.38,,,2018-01-16,2018-01-29,Expense,Operating Expense,
329035635518103232,2018-01-16,S09 - Free Business Checking,ICDSOFT : IAT PAYPAL : 7xxxx0487C,ICDSOFT : IAT PAYPAL : 7xxxx0487C,-65.98,,,65.98,Computer – Hosting,,,,,,-65.98,,,2018-01-16,2018-01-17,Asset,Cash and Bank,Checking
329035635518103232,2018-01-16,Computer – Hosting,ICDSOFT : IAT PAYPAL : 7xxxx0487C,ICDSOFT : IAT PAYPAL : 7xxxx0487C,65.98,,65.98,,S09 - Free Business Checking,,,,,,65.98,,,2018-01-16,2018-01-17,Expense,Operating Expense,
329496340839030692,2018-01-16,S09 - Free Business Checking,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 01/14/18 Card 6271,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 01/14/18 Card 6271,-75.00,,,75.00,San Air Technologies,,,,,,-75.00,,,2018-01-17,2018-01-17,Asset,Cash and Bank,Checking
329496340839030692,2018-01-16,San Air Technologies,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 01/14/18 Card 6271,Visa Check SANAIR TECHNOLOGIES LAB xxx-xxx1177 VA 01/14/18 Card 6271,75.00,,75.00,,S09 - Free Business Checking,,,,,,75.00,,,2018-01-17,2018-01-17,Expense,Cost of Goods Sold,
330215211468348876,2018-01-17,S09 - Free Business Checking,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/17/18 Card 6271,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/17/18 Card 6271,-28.25,,,28.25,Vehicle – Fuel,,,,,,-28.25,,,2018-01-18,2018-01-18,Asset,Cash and Bank,Checking
330215211468348876,2018-01-17,Vehicle – Fuel,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/17/18 Card 6271,Visa Check LOAF N JUG #0024 COLORADO CITY CO 01/17/18 Card 6271,28.25,,28.25,,S09 - Free Business Checking,,,,,,28.25,,,2018-01-18,2018-01-18,Expense,Operating Expense,
330215215780093396,2018-01-17,S09 - Free Business Checking,Deposit Bulk Checks 65.00 Bulk Check Count 1 Bulk Deposit Number xxx0613,Deposit Bulk Checks 65.00 Bulk Check Count 1 Bulk Deposit Number xxx0613,65.00,,65.00,,Computer Income,,,,,,65.00,,,2018-01-18,2018-01-18,Asset,Cash and Bank,Checking
330215215780093396,2018-01-17,Computer Income,Deposit Bulk Checks 65.00 Bulk Check Count 1 Bulk Deposit Number xxx0613,Deposit Bulk Checks 65.00 Bulk Check Count 1 Bulk Deposit Number xxx0613,65.00,,,65.00,S09 - Free Business Checking,,,,,,65.00,,,2018-01-18,2018-01-18,Income,Income,
330215220385439199,2018-01-17,S09 - Free Business Checking,#xxxxxxxx2183 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx2183 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-6.26,,,6.26,Cigs,,,,,,-6.26,,,2018-01-18,2018-01-29,Asset,Cash and Bank,Checking
330215220385439199,2018-01-17,Cigs,#xxxxxxxx2183 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx2183 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,6.26,,6.26,,S09 - Free Business Checking,,,,,,6.26,,,2018-01-18,2018-01-29,Expense,Operating Expense,
330215224227421672,2018-01-17,S09 - Free Business Checking,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,-10.00,,,10.00,Buy Back Guarentee,,,,,,-10.00,,,2018-01-18,2018-01-18,Asset,Cash and Bank,Checking
330215224227421672,2018-01-17,Buy Back Guarentee,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,USAA.COM PAYMNT : CREDIT CRD : xxxxx7129,10.00,,10.00,,S09 - Free Business Checking,,,,,,10.00,,,2018-01-18,2018-01-18,Expense,Operating Expense,
330215228572720623,2018-01-17,S09 - Free Business Checking,PAYPAL : INST XFER : PAYPALSI77,PAYPAL : INST XFER : PAYPALSI77,-20.00,,,20.00,HIP,,,,,,-20.00,,,2018-01-18,2018-01-18,Asset,Cash and Bank,Checking
330215228572720623,2018-01-17,HIP,PAYPAL : INST XFER : PAYPALSI77,PAYPAL : INST XFER : PAYPALSI77,20.00,,20.00,,S09 - Free Business Checking,,,,,,20.00,,,2018-01-18,2018-01-18,Expense,Operating Expense,
330950771786932070,2018-01-18,S09 - Free Business Checking,#xxxxxxxx2922 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx2922 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-12.89,,,12.89,Mt Dew and Cigs,,,,,,-12.89,,,2018-01-19,2018-01-29,Asset,Cash and Bank,Checking
330950771786932070,2018-01-18,Mt Dew and Cigs,#xxxxxxxx2922 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx2922 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,12.89,,12.89,,S09 - Free Business Checking,,,,,,12.89,,,2018-01-19,2018-01-29,Expense,Operating Expense,
331724094506556833,2018-01-19,S09 - Free Business Checking,Visa Check VISTAPR*VistaPrint.com xxx-xxx6743 MA 01/19/18 Card 6271,Visa Check VISTAPR*VistaPrint.com xxx-xxx6743 MA 01/19/18 Card 6271,-43.73,,,43.73,Advertisemet,,,,,Buisness cards from Vista Print,-43.73,,,2018-01-20,2018-01-20,Asset,Cash and Bank,Checking
331724094506556833,2018-01-19,Advertisemet,Visa Check VISTAPR*VistaPrint.com xxx-xxx6743 MA 01/19/18 Card 6271,Visa Check VISTAPR*VistaPrint.com xxx-xxx6743 MA 01/19/18 Card 6271,43.73,,43.73,,S09 - Free Business Checking,,,,,Buisness cards from Vista Print,43.73,,,2018-01-20,2018-01-20,Expense,Operating Expense,
331724098885410220,2018-01-19,S09 - Free Business Checking,Deposit Bulk Checks 142.32 Bulk Check Count 2 Bulk Deposit Number xxx0616,Deposit Bulk Checks 142.32 Bulk Check Count 2 Bulk Deposit Number xxx0616,142.32,,142.32,,"Five Brothers, Harrison Engineering",,,,,,142.32,,,2018-01-20,2018-01-20,Asset,Cash and Bank,Checking
331724098885410220,2018-01-19,Harrison Engineering,Deposit Bulk Checks 142.32 Bulk Check Count 2 Bulk Deposit Number xxx0616,Deposit Bulk Checks 142.32 Bulk Check Count 2 Bulk Deposit Number xxx0616,112.32,,,112.32,"Five Brothers, S09 - Free Business Checking",,,,,,112.32,,,2018-01-20,2018-01-20,Income,Income,
331724098885410220,2018-01-19,Five Brothers,Deposit Bulk Checks 142.32 Bulk Check Count 2 Bulk Deposit Number xxx0616,Deposit Bulk Checks 142.32 Bulk Check Count 2 Bulk Deposit Number xxx0616,30.00,,,30.00,"Harrison Engineering, S09 - Free Business Checking",,,,,,30.00,,,2018-01-20,2018-01-20,Income,Income,
331724103406869942,2018-01-19,S09 - Free Business Checking,#xxxxxxxx3315 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,#xxxxxxxx3315 LOAF N'JUG MINI 4401 HWY 165 COLORADO CITY CO Card 6271,-10.09,,,10.09,Cigs,,,,,,-10.09,,,2018-01-20,2018-01-29,Asset,Cash and Bank,Checking
