Account Transactions
J & M Solutions
Date Range: 2025-01-01 to 2025-12-29
Report Type: Accrual (Paid & Unpaid)
ACCOUNT NUMBER,DATE,DESCRIPTION,DEBIT (In Business Currency),CREDIT (In Business Currency),BALANCE (In Business Currency)
Checking,2025-03-30,Public Data Information,,$29.96,"$8,513.64"
Checking,2025-04-01,Wave Payroll,,$32.00,"$8,481.64"
Checking,2025-04-04,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,060.81"
Checking,2025-04-11,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,639.98"
Checking,2025-04-17,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,219.15"
Checking,2025-04-17,Payment for Teaching Services,"$2,000.00",,"$9,219.15"
Checking,2025-04-24,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,798.32"
Checking,2025-04-28,Square Invoice,$96.40,,"$8,894.72"
Checking,2025-04-29,Public Data Check,,$29.96,"$8,864.76"
Checking,2025-05-01,Wave Payroll Fee,,$32.00,"$8,832.76"
Checking,2025-05-08,Queensboro,,$87.63,"$8,745.13"
Checking,2025-05-12,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,324.30"
Checking,2025-05-12,Wave PYRL : PAYROLL : 2981044,,$420.83,"$7,903.47"
Checking,2025-05-17,Payment for Teaching Services,"$2,000.00",,"$9,903.47"
Checking,2025-05-19,Wave PYRL : PAYROLL : 2981044,,$420.83,"$9,482.64"
Checking,2025-05-27,Wave PYRL : PAYROLL : 2981044,,$420.83,"$9,061.81"
Checking,2025-05-29,Public Data Check,,$29.96,"$9,031.85"
Checking,2025-06-01,Wave Payroll,,$32.00,"$8,999.85"
Checking,2025-06-02,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,579.02"
Checking,2025-06-09,DEP PRENOTIFICATION FROM Check P,,$0.00,"$8,579.02"
Checking,2025-06-09,DEP PRENOTIFICATION FROM Check P,,$0.00,"$8,579.02"
Checking,2025-06-12,Wave PYRL : PAYROLL : 2981044,,$420.83,"$8,158.19"
Checking,2025-06-14,C Cubed Training - Student payment,"$1,000.00",,"$9,158.19"
Checking,2025-06-16,Cash Withdrawal for Student Pay,,"$1,000.00","$8,158.19"
Checking,2025-06-18,Teacher Services Payment,"$2,000.00",,"$10,158.19"
Checking,2025-06-23,DEP PRENOTIFICATION FROM Check P,,$0.00,"$10,158.19"
Checking,2025-06-28,Public Data,,$29.96,"$10,128.23"
Checking,2025-07-01,Wave-Payroll,,$32.00,"$10,096.23"
Checking,2025-07-09,Cash Withdrawl,,"$2,000.00","$8,096.23"
Checking,2025-07-17,Deposit Home Banking Transfer RE,"$1,700.00",,"$9,796.23"
Checking,2025-07-17,C Cubed Training - Payment for Invoice #8,"$2,000.00",,"$11,796.23"
Checking,2025-07-17,Payment to Interns for Camps,,"$1,700.00","$10,096.23"
Checking,2025-07-28,Public Data Check,,$29.96,"$10,066.27"
Checking,2025-07-31,Balance out,,"$15,175.38","-$5,109.11"
Checking,2025-08-02,Payroll,,$32.00,"-$5,141.11"
Checking,2025-08-17,Open AI,,$25.00,"-$5,166.11"
Checking,2025-08-22,Wave Payroll : PCR : 12093060,,$549.57,"-$5,715.68"
Checking,2025-08-22,OnPay Inc : ACCTVERIFY : 7581,$0.82,,"-$5,714.86"
Checking,2025-08-22,OnPay Inc : ACCTVERIFY : 7581,,$0.11,"-$5,714.97"
Checking,2025-08-22,OnPay Inc : ACCTVERIFY : 7581,,$0.71,"-$5,715.68"
Checking,2025-08-22,Payment for Teachers,"$2,000.00",,"-$3,715.68"
Checking,2025-08-28,Visa Check PUBLIC DATA CHECK 80,,$29.96,"-$3,745.64"
Checking,2025-08-28,Wave Payroll : PCR : 12093060,,$549.57,"-$4,295.21"
Checking,2025-08-30,SHADOWSCAPE SHADOWSCAPE.I ID Car,,"$2,379.00","-$6,674.21"
Checking,2025-09-01,Visa Check WAVE - PAYROLL FEES,,$32.00,"-$6,706.21"
Checking,2025-09-04,Wave Payroll : PCR : 12093060,,$549.57,"-$7,255.78"
Checking,2025-09-04,Visa Check EVENT:CS5 EAST 2025,,$833.00,"-$8,088.78"
Checking,2025-09-10,Wave Payroll : PCR : 12093060,,$549.57,"-$8,638.35"
Checking,2025-09-11,Deposit Home Banking Transfer Fr,"$1,000.00",,"-$7,638.35"
Checking,2025-09-11,FARMERS INS COMMERCIAL,,$149.40,"-$7,787.75"
Checking,2025-09-11,FARMERS INS COMMERCIAL,,$108.00,"-$7,895.75"
Checking,2025-09-12,Visa Check SOUTHWES 52623862720,,$248.36,"-$8,144.11"
Checking,2025-09-17,Deposit Home Banking Transfer Fr,"$2,000.00",,"-$6,144.11"
Checking,2025-09-17,Wave Payroll : PCR : 12093060,,$549.57,"-$6,693.68"
Checking,2025-09-20,Visa Check POCKET PREP - IT/CYB,,$20.99,"-$6,714.67"
Checking,2025-09-23,WAVE SV9T : : 1043,$194.20,,"-$6,520.47"
Checking,2025-09-24,Wave Payroll : PCR : 12093060,,$549.57,"-$7,070.04"
Checking,2025-09-25,Visa Check VISTAPRINT,,$29.07,"-$7,099.11"
Checking,2025-09-25,Visa Check CO SECRETARY STATE F,,$25.00,"-$7,124.11"
Checking,2025-09-28,Visa Check PUBLIC DATA CHECK 80,,$29.96,"-$7,154.07"
Checking,2025-09-28,Visa Check MICROSOFT 40,,$129.99,"-$7,284.06"
Checking,2025-09-29,Withdrawal Card Fee VISA INTERN,,$0.54,"-$7,284.60"
Checking,2025-09-29,Visa Check IMSTECK1 SINGAPORE S,,$68.00,"-$7,352.60"
Checking,2025-10-01,Wave Payroll : PCR : 12093060,,$549.57,"-$7,902.17"
Checking,2025-10-01,Visa Check WAVE - PAYROLL FEES,,$32.00,"-$7,934.17"
Checking,2025-10-08,Wave Payroll : PCR : 12093060,,$549.57,"-$8,483.74"
Checking,2025-10-11,FARMERS INS COMMERCIAL,,$80.66,"-$8,564.40"
Checking,2025-10-11,FARMERS INS COMMERCIAL,,$60.00,"-$8,624.40"
Checking,2025-10-17,Deposit Home Banking Transfer Fr,"$2,000.00",,"-$6,624.40"
Checking,2025-10-20,WAVE SV9T : : 1043,$194.20,,"-$6,430.20"
Checking,2025-10-20,Visa Check POCKET PREP - IT/CYB,,$20.99,"-$6,451.19"
Checking,2025-10-20,Visa Check BLD*MYPERFECTRESUME,,$2.95,"-$6,454.14"
Checking,2025-10-21,Wave Payroll : PCR : 12093060,,$549.57,"-$7,003.71"
Checking,2025-10-27,Visa Check PUBLIC DATA CHECK 80,,$29.96,"-$7,033.67"
Checking,2025-10-28,Visa Check AMAZON MKTPL*N48B27K,,$19.53,"-$7,053.20"
Checking,2025-10-29,Visa Check FINDRFP.COM MINNEAPO,,$29.95,"-$7,083.15"
Checking,2025-11-01,Visa Check WAVE - PAYROLL FEES,,$32.00,"-$7,115.15"
Checking,2025-11-03,Visa Check BLD*MYPERFECTRESUME,,$23.95,"-$7,139.10"
Checking,2025-11-05,Visa Check POSTCARDMANIA CLEARW,,"$1,745.61","-$8,884.71"
Checking,2025-11-06,GODADDY.COM,,$12.19,"-$8,896.90"
Checking,2025-11-11,FARMERS INS COMMERCIAL,,$80.66,"-$8,977.56"
Checking,2025-11-11,FARMERS INS COMMERCIAL,,$60.00,"-$9,037.56"
Checking,2025-11-17,WAVE SV9T : : 1043,$194.20,,"-$8,843.36"
Checking,2025-11-17,Deposit Home Banking Transfer Fr,"$2,000.00",,"-$6,843.36"
Checking,2025-11-20,Wave Payroll : PCR : 12093060,,$549.57,"-$7,392.93"
Checking,2025-11-26,C Cubed Training - Payment for Invoice #16,"$2,000.00",,"-$5,392.93"
Checking,2025-11-26,Wave Payroll : PCR : 12093060,,$549.57,"-$5,942.50"
Checking,2025-11-26,Visa Check PUBLIC DATA CHECK 80,,$29.96,"-$5,972.46"
Checking,2025-11-26,GODADDY.COM,,$50.59,"-$6,023.05"
Checking,2025-11-29,Visa Check FINDRFP.COM MINNEAPO,,$29.95,"-$6,053.00"
Checking,2025-12-02,Visa Check BLD*MYPERFECTRESUME,,$23.95,"-$6,076.95"
Checking,2025-12-04,Wave Payroll : PCR : 12093060,,$549.57,"-$6,626.52"
Checking,2025-12-05,Deposit Home Banking Transfer RE,"$2,000.00",,"-$4,626.52"
Checking,2025-12-06,Visa Check TWILIO SENDGRID WWW.,,$16.73,"-$4,643.25"
Checking,2025-12-11,FARMERS INS COMMERCIAL,,$80.66,"-$4,723.91"
Checking,2025-12-11,FARMERS INS COMMERCIAL,,$60.00,"-$4,783.91"
Checking,2025-12-15,WAVE SV9T : : 1043,$194.20,,"-$4,589.71"
Checking,2025-12-17,Deposit Home Banking Transfer Fr,"$2,000.00",,"-$2,589.71"
Checking,2025-12-17,Wave Payroll : PCR : 12093060,,$549.57,"-$3,139.28"
Checking,2025-12-22,Wave Payroll : PCR : 12093060,,$549.57,"-$3,688.85"
Checking,2025-12-22,Check #1510 Withdrawal #0000001510,,$100.00,"-$3,788.85"
Checking,2025-12-23,Withdrawal Home Banking Transfer,,$750.00,"-$4,538.85"
Checking,2025-12-24,Visa Check DELTEK INC,,"$1,750.00","-$6,288.85"
Checking,2025-12-26,Visa Check PUBLIC DATA CHECK 80,,$29.96,"-$6,318.81"
Totals and Ending Balance,,,"$39,796.34","$47,181.30","-$6,318.81"
Balance Change,,,"-$7,384.96",,
""
,Transfer Clearing,,,,
Starting Balance,,,,,$0.00
,2025-01-02,Wave PYRL : PAYROLL : 2981044,$209.91,,$209.91
,2025-01-02,Transfer from transfer clearing account to payroll clearing account,,$209.91,$0.00
,2025-01-13,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-01-13,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-01-17,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-01-17,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-01-22,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-01-22,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-01-30,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-01-30,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-02-06,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-02-06,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-02-13,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-02-13,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-02-20,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-02-20,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-02-27,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-02-27,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-03-06,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-03-06,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-03-13,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-03-13,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-03-20,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-03-20,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-03-27,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-03-27,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-04-04,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-04-04,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-04-11,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-04-11,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-04-17,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-04-17,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-04-24,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-04-24,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-05-12,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-05-12,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-05-12,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-05-12,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-05-19,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-05-19,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-05-27,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-05-27,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-06-02,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-06-02,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-06-12,Wave PYRL : PAYROLL : 2981044,$420.83,,$420.83
,2025-06-12,Transfer from transfer clearing account to payroll clearing account,,$420.83,$0.00
,2025-08-22,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-08-22,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-08-28,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-08-28,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-09-04,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-09-04,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-09-10,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-09-10,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-09-17,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-09-17,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-09-23,WAVE SV9T : : 1043,,$194.20,-$194.20
,2025-09-23,Transfer from Wave Payments to your bank account,$194.20,,$0.00
,2025-09-24,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-09-24,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-10-01,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-10-01,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-10-08,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-10-08,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-10-20,WAVE SV9T : : 1043,,$194.20,-$194.20
,2025-10-20,Transfer from Wave Payments to your bank account,$194.20,,$0.00
,2025-10-21,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-10-21,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-11-17,WAVE SV9T : : 1043,,$194.20,-$194.20
,2025-11-17,Transfer from Wave Payments to your bank account,$194.20,,$0.00
,2025-11-20,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-11-20,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-11-26,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-11-26,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-12-04,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-12-04,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-12-15,WAVE SV9T : : 1043,,$194.20,-$194.20
,2025-12-15,Transfer from Wave Payments to your bank account,$194.20,,$0.00
,2025-12-17,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-12-17,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
,2025-12-22,Wave Payroll : PCR : 12093060,$549.57,,$549.57
,2025-12-22,Transfer from transfer clearing account to payroll clearing account,,$549.57,$0.00
Totals and Ending Balance,,,"$17,938.95","$17,938.95",$0.00
Balance Change,,,$0.00,,
""
,Wave Payments,,,,
Starting Balance,,,,,$0.00
,2025-09-19,Ashley Skilling - Payment for Invoice #13,$194.20,,$194.20
,2025-09-23,Transfer from Wave Payments to your bank account,,$194.20,$0.00
,2025-10-16,Ashley Skilling - Payment for Invoice #15,$194.20,,$194.20
,2025-10-20,Transfer from Wave Payments to your bank account,,$194.20,$0.00
,2025-11-13,Ashley Skilling - Payment for Invoice #17,$194.20,,$194.20
,2025-11-17,Transfer from Wave Payments to your bank account,,$194.20,$0.00
,2025-12-11,Ashley Skilling - Payment for Invoice #20,$194.20,,$194.20
,2025-12-15,Transfer from Wave Payments to your bank account,,$194.20,$0.00
Totals and Ending Balance,,,$776.80,$776.80,$0.00
Balance Change,,,$0.00,,
""
,Wave Payroll Clearing,,,,
Starting Balance,,,,,"-$3,241.29"
,2025-01-02,"Payroll period ending Jan 3, 2025",,$209.91,"-$3,451.20"
,2025-01-02,Transfer from transfer clearing account to payroll clearing account,$209.91,,"-$3,241.29"
,2025-01-13,"Payroll period ending Jan 10, 2025",,$420.83,"-$3,662.12"
,2025-01-13,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-01-16,"Payroll period ending Jan 17, 2025",,$420.83,"-$3,662.12"
,2025-01-17,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-01-22,"Payroll period ending Jan 24, 2025",,$420.83,"-$3,662.12"
,2025-01-22,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-01-29,"Payroll period ending Jan 31, 2025",,$420.83,"-$3,662.12"
,2025-01-30,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-02-05,"Payroll period ending Feb 7, 2025",,$420.83,"-$3,662.12"
,2025-02-06,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-02-12,"Payroll period ending Feb 14, 2025",,$420.83,"-$3,662.12"
,2025-02-13,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-02-19,"Payroll period ending Feb 21, 2025",,$420.83,"-$3,662.12"
,2025-02-20,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-02-26,"Payroll period ending Feb 28, 2025",,$420.83,"-$3,662.12"
,2025-02-27,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-03-05,"Payroll period ending Mar 7, 2025",,$420.83,"-$3,662.12"
,2025-03-06,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-03-12,"Payroll period ending Mar 14, 2025",,$420.83,"-$3,662.12"
,2025-03-13,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-03-19,"Payroll period ending Mar 21, 2025",,$420.83,"-$3,662.12"
,2025-03-20,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-03-26,"Payroll period ending Mar 28, 2025",,$420.83,"-$3,662.12"
,2025-03-27,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-04-03,"Payroll period ending Apr 4, 2025",,$420.83,"-$3,662.12"
,2025-04-04,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-04-10,"Payroll period ending Apr 11, 2025",,$420.83,"-$3,662.12"
,2025-04-11,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-04-16,"Payroll period ending Apr 18, 2025",,$420.83,"-$3,662.12"
,2025-04-17,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-04-23,"Payroll period ending Apr 25, 2025",,$420.83,"-$3,662.12"
,2025-04-24,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-05-12,"Payroll period ending May 2, 2025",,$420.83,"-$3,662.12"
,2025-05-12,"Payroll period ending May 9, 2025",,$420.83,"-$4,082.95"
,2025-05-12,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,662.12"
,2025-05-12,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-05-19,"Payroll period ending May 16, 2025",,$420.83,"-$3,662.12"
,2025-05-19,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-05-27,"Payroll period ending May 23, 2025",,$420.83,"-$3,662.12"
,2025-05-27,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-06-02,"Payroll period ending May 30, 2025",,$420.83,"-$3,662.12"
,2025-06-02,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-06-11,"Payroll period ending Jun 6, 2025",,$420.83,"-$3,662.12"
,2025-06-12,Transfer from transfer clearing account to payroll clearing account,$420.83,,"-$3,241.29"
,2025-08-22,Payroll period ending 2025-08-22,,$549.57,"-$3,790.86"
,2025-08-22,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$3,241.29"
,2025-08-28,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-08-28,Payroll period ending 2025-08-29,,$549.57,"-$3,241.29"
,2025-09-04,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-09-04,Payroll period ending 2025-09-05,,$549.57,"-$3,241.29"
,2025-09-10,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-09-10,Payroll period ending 2025-09-12,,$549.57,"-$3,241.29"
,2025-09-17,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-09-17,Payroll period ending 2025-09-19,,$549.57,"-$3,241.29"
,2025-09-24,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-09-24,Payroll period ending 2025-09-26,,$549.57,"-$3,241.29"
,2025-10-01,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-10-01,Payroll period ending 2025-10-03,,$549.57,"-$3,241.29"
,2025-10-08,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-10-08,Payroll period ending 2025-10-10,,$549.57,"-$3,241.29"
,2025-10-20,Payroll period ending 2025-10-17,,$549.57,"-$3,790.86"
,2025-10-21,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$3,241.29"
,2025-11-20,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-11-20,Payroll period ending 2025-10-24,,$549.57,"-$3,241.29"
,2025-11-26,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-11-26,Payroll period ending 2025-10-31,,$549.57,"-$3,241.29"
,2025-12-04,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-12-04,Payroll period ending 2025-11-07,,$549.57,"-$3,241.29"
,2025-12-17,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-12-17,Payroll period ending 2025-11-14,,$549.57,"-$3,241.29"
,2025-12-22,Transfer from transfer clearing account to payroll clearing account,$549.57,,"-$2,691.72"
,2025-12-22,Payroll period ending 2025-11-21,,$549.57,"-$3,241.29"
Totals and Ending Balance,,,"$17,162.15","$17,162.15","-$3,241.29"
Balance Change,,,$0.00,,
""
,Accounts Receivable,,,,
Starting Balance,,,,,-$43.04
,2025-01-01,C Cubed Training - 1,"$2,000.00",,"$1,956.96"
,2025-01-17,Invoice payment from C Cubed,,"$2,000.00",-$43.04
,2025-02-01,C Cubed Training - 2,"$2,000.00",,"$1,956.96"
,2025-02-17,Invoice #2 Payment from C3,,"$2,000.00",-$43.04
,2025-03-01,C Cubed Training - 3,"$2,000.00",,"$1,956.96"
,2025-03-18,Payment for Invoice,,"$2,000.00",-$43.04
,2025-04-01,C Cubed Training - 4,"$2,000.00",,"$1,956.96"
,2025-04-17,Payment for Teaching Services,,"$2,000.00",-$43.04
,2025-05-01,C Cubed Training - 5,"$2,000.00",,"$1,956.96"
,2025-05-17,Payment for Teaching Services,,"$2,000.00",-$43.04
,2025-06-01,C Cubed Training - 6,"$2,000.00",,"$1,956.96"
,2025-06-14,C Cubed Training - 7,"$1,000.00",,"$2,956.96"
,2025-06-14,C Cubed Training - Student payment,,"$1,000.00","$1,956.96"
,2025-06-18,Teacher Services Payment,,"$2,000.00",-$43.04
,2025-06-25,C Cubed Training - 8,"$2,000.00",,"$1,956.96"
,2025-07-17,C Cubed Training - Payment for Invoice #8,,"$2,000.00",-$43.04
,2025-08-01,C Cubed Training - 11,"$2,000.00",,"$1,956.96"
,2025-08-22,Payment for Teachers,,"$2,000.00",-$43.04
,2025-09-01,C Cubed Training - 12,"$2,000.00",,"$1,956.96"
,2025-09-11,Ashley Skilling - 13,$200.00,,"$2,156.96"
,2025-09-17,Deposit Home Banking Transfer Fr,,"$2,000.00",$156.96
,2025-09-19,Ashley Skilling - Payment for Invoice #13,,$200.00,-$43.04
,2025-10-01,C Cubed Training - 14,"$2,000.00",,"$1,956.96"
,2025-10-10,Ashley Skilling - 15,$200.00,,"$2,156.96"
,2025-10-16,Ashley Skilling - Payment for Invoice #15,,$200.00,"$1,956.96"
,2025-10-17,Deposit Home Banking Transfer Fr,,"$2,000.00",-$43.04
,2025-11-01,C Cubed Training - 16,"$2,000.00",,"$1,956.96"
,2025-11-10,Ashley Skilling - 17,$200.00,,"$2,156.96"
,2025-11-13,Ashley Skilling - Payment for Invoice #17,,$200.00,"$1,956.96"
,2025-11-22,PuebloPlex - 18,"$1,600.00",,"$3,556.96"
,2025-11-26,C Cubed Training - Payment for Invoice #16,,"$2,000.00","$1,556.96"
